îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ïΩãœïóë¨(m/s),ïΩãœâ_ó (10ï™î‰)
2020/10/15,19.7,14.7,1,0,2.7,10
2020/10/16,19.5,13.9,0,4.1,2.9,9.5
2020/10/17,16,11.5,23,0,2.2,10
2020/10/18,19.8,11.3,0.5,4.2,2.1,7
2020/10/19,17.1,11.2,9,0,2.4,7.5
2020/10/20,21,10.5,0,7.7,2.3,5.3
2020/10/21,21.6,11.9,0,7.5,2.6,4.8
2020/10/22,22.1,14.2,0,3,2.3,10
2020/10/23,17.9,14.3,8.5,0,2,10
2020/10/24,21.2,12.7,0,7.8,3.1,5
2020/10/25,21.3,11.4,0,8.4,2.6,1.5
2020/10/26,22.9,10.7,0,8.6,2,6.3
2020/10/27,20.8,13.3,0,6,2.2,8.3
2020/10/28,20.2,13.1,0,2.2,1.7,8
2020/10/29,22.8,13,0,9.7,2.9,4.8
2020/10/30,18.5,11.1,0,1.6,3.2,6.3
2020/10/31,19.2,9.2,0,9.6,2.4,0
2020/11/1,19.9,9,0,2.7,2.1,7.5
2020/11/2,23.6,11.6,2.5,2.7,1.8,8
2020/11/3,17.1,12.8,4.5,0.2,1.8,10
2020/11/4,18.6,9.8,0,8.6,3,2
2020/11/5,19.4,9.1,0,9.2,2.1,0.5
2020/11/6,16.2,10.6,0,0.4,1.7,9.8
2020/11/7,20.6,11.5,0,1.2,1.6,9.5
2020/11/8,22.4,13.5,2.5,1.1,1.8,10
2020/11/9,18.3,10.5,0,2.9,3.1,4.3
2020/11/10,16.9,8.6,0,8.7,2.4,2.8
2020/11/11,16.9,8.3,0,9.1,3.1,1.5
2020/11/12,13.1,6.2,0,0.5,2.2,7.3
2020/11/13,19,9.7,0,8.7,1.7,3.8
2020/11/14,20.3,10.4,0,9.3,2.4,0
2020/11/15,18.6,7.5,0,9.2,2.5,3.8
2020/11/16,21.4,9.1,0,9.2,1.5,3
2020/11/17,20.7,10.8,0,8.5,2.3,0.5
2020/11/18,21.4,10.3,0,8.3,2,5.3
2020/11/19,24.9,13.2,0,7,3.6,8.5
2020/11/20,23.9,18.5,0,0.4,5.5,10
2020/11/21,20.2,11.1,0,9.1,3.6,2.5
2020/11/22,19.3,8.5,0,8,2.8,1.3
2020/11/23,20.9,11.4,0,5.6,2.6,7.5
2020/11/24,13.3,10.1,0,0,2.7,10
2020/11/25,12.1,9.2,5,0,2.3,10
2020/11/26,18.6,9.2,0,8,1.5,4.8
2020/11/27,13.2,10.2,0,1.2,2.5,9.5
2020/11/28,17.3,8.8,0,8.8,3.5,5
2020/11/29,13.7,7.5,0,1.2,2,8
2020/11/30,14.9,5.2,0,6.8,1.8,6.3
2020/12/1,14.9,5.6,0,8.8,2,0.8
2020/12/2,10.2,7,8,0,2.3,9.8
2020/12/3,10.6,6.7,0,0,2.1,8
2020/12/4,13.9,5.5,0,7.1,2.1,5.3
2020/12/5,7.7,4.4,3.5,0,2.1,10
2020/12/6,13.5,4.4,0,5.8,1.6,4.8
2020/12/7,16.1,4.7,0,8.8,1.5,0.8
2020/12/8,17.2,5.8,0,6.7,2,5
2020/12/9,12.2,7.9,0,0.7,2.1,10
2020/12/10,12.2,6.9,0,0.4,2.2,7.5
2020/12/11,14.4,5.3,0,4.3,1.7,5.5
2020/12/12,15,8.3,0,2.3,2,10
2020/12/13,15.4,5.9,0,6.2,1.7,3.5
2020/12/14,13.1,5.5,0,4.6,2.7,8.5
2020/12/15,11.3,2,0,7,2.5,4.5
2020/12/16,9.6,0.5,0,6.1,1.9,2.8
2020/12/17,9.4,-0.1,0,8.9,2.7,0.3
2020/12/18,11.6,0.5,0,8.6,1.7,2.5
2020/12/19,9.4,1.6,0,2.2,2.6,5.8
2020/12/20,9.4,-0.6,0,8.9,2.8,0.8
2020/12/21,11.2,0.1,0,9,1.7,0
2020/12/22,11.7,0.5,0,8,1.8,1.8
2020/12/23,14.1,1.2,0,8.9,2,2.5
2020/12/24,12.9,2.6,0,1.7,1.9,7.5
2020/12/25,14,4.7,0,8.3,2.2,5.5
2020/12/26,11.8,1.5,0,8.8,1.7,2.3
2020/12/27,12.7,3.4,0,6.8,1.9,7.8
2020/12/28,13.5,6.2,0,4,1.6,5.5
2020/12/29,13.1,4.3,0,4.5,1.6,5.8
2020/12/30,12.3,2.7,1.5,1.6,3.4,10
2020/12/31,7.6,-0.2,0,8.9,3.3,0.8
2021/1/1,10.5,-1.3,0,8.7,1.5,0
2021/1/2,10.8,0.1,0,8.8,2,2
2021/1/3,8.4,-0.4,0,8.8,1.6,4
2021/1/4,11.4,1.3,0,7.7,1.8,4.8
2021/1/5,10,2.5,0,1,1.7,10
2021/1/6,6.8,3.9,0,0.4,2.4,10
2021/1/7,12.7,2,0,7.4,4,7.5
2021/1/8,6.5,-1.5,0,5.4,1.8,4
2021/1/9,8.4,-1.5,0,8.5,2.3,2
2021/1/10,8.1,-2.4,0,8.9,2,2.3
2021/1/11,6.5,-1.3,0,0.8,2,7.5
2021/1/12,5.7,1.2,0,0,2.3,10
2021/1/13,12.5,-0.5,0,9.1,1.8,1.3
2021/1/14,14.5,0.9,0,9,1.8,0
2021/1/15,7.6,4.9,0,0,2.1,7.5
2021/1/16,18.7,4.3,0,8.8,2.7,3.3
2021/1/17,8,4.1,0,0.2,2.2,9.8
2021/1/18,8.6,1,0,5.4,2,5
2021/1/19,9.5,1,0,9.2,4.1,0
2021/1/20,9.5,0.2,0,9.2,2.8,0.3
2021/1/21,10.7,-0.3,0,9.1,1.8,4
2021/1/22,16,1.2,0,7.7,1.4,6.5
2021/1/23,10.2,2.7,19,0,3.1,10
2021/1/24,6.5,2.3,13,0,3.6,10
2021/1/25,13.2,3.8,1.5,8.8,1.9,7.3
2021/1/26,11.2,2.7,0,2.2,1.7,5.8
2021/1/27,16.2,6.4,1,0.8,2.5,9.5
2021/1/28,7.9,0.9,9,0.2,2.5,10
2021/1/29,10.8,0.7,0,7.5,3.2,4.5
2021/1/30,9.3,0.9,0,9.4,2.9,0
2021/1/31,11.9,-0.4,0,9.4,2.6,0
2021/2/1,14,1.8,0,4.5,2.7,6.5
2021/2/2,15.6,4.3,12,4.2,3.2,7.3
2021/2/3,11.8,1,0,9,2,1.3
2021/2/4,12.6,0.6,0,9.5,2.9,0
2021/2/5,12.4,1.9,0,8.9,2.4,4
2021/2/6,15,4.2,0,9.4,1.7,1.8
